src_origin_id,dst_origin_id,edge_type,src_id,dst_id
38090555,52903951,0,711,567
26410144,31465612,5,557,87
73086148,42334581,0,946,269
95602070,50399560,5,732,566
8472906,26076984,3,298,193
26267607,30956538,4,873,453
57684912,88996983,1,743,735
97164912,67210903,0,822,306
34662216,19067526,0,80,416
47135165,60623620,5,45,903
86008559,1493082,4,281,526
20476876,94955068,5,899,315
41503628,15251756,5,47,143
54050593,79500855,3,785,401
87316948,44965957,0,799,20
9019677,68371650,3,351,685
62125849,94847903,5,465,265
58901282,61457445,2,564,428
28325828,95993943,5,872,275
99060389,63517179,0,164,134
17066180,32429075,1,958,839
7418176,96988713,2,363,392
43545057,85994086,4,647,517
97606046,5757040,0,686,112
61009773,19606074,5,892,894
99268018,50816616,1,625,19
98528968,33125537,5,942,362
23324213,89847523,2,220,313
44307694,54789181,4,429,644
94868179,64389828,1,949,436
7315229,65925778,1,489,628
63143987,44959846,4,778,438
31729033,47232993,3,455,989
90349889,77824893,0,667,936
53748800,84537315,3,336,665
64948572,46638647,1,979,325
98346944,56609314,5,198,867
54711058,62764098,0,987,650
51385896,36531904,0,615,201
73037477,69668083,5,99,559
91630511,92425425,1,585,375
25735541,44554709,2,469,562
50694882,63041014,0,353,100
91296187,26076984,2,204,193
54355321,11427516,2,219,410
20866937,48892883,1,648,332
34676709,17815908,3,637,902
42334581,1894771,5,269,78
67380103,90459524,1,118,706
35295072,86008559,0,610,281
87168447,73373071,3,660,982
62758017,43665888,4,717,282
86372359,19751250,2,234,837
97236644,42366310,5,519,460
87316948,60923550,1,799,318
58901282,7892461,4,564,929
12919605,47232993,1,700,989
31217803,67454106,3,468,181
46264694,41986844,0,741,604
99060389,97873083,0,164,274
59765788,93990387,5,638,177
67897782,29793503,0,343,345
7015572,72578540,5,71,76
44307694,69857816,1,429,14
82759299,52903951,2,167,567
60713142,19751250,4,886,837
41589049,32429075,2,324,839
91630511,53512485,4,585,195
11423269,39860131,5,826,109
26920200,48164460,3,415,75
5910013,75090190,5,919,34
86072549,88059419,4,293,809
67724969,61570194,1,491,623
12232739,37648977,2,200,626
98997058,31729033,1,773,455
35551656,84434481,3,470,335
11427516,30514367,5,410,953
31729033,34133608,3,455,51
13280193,20455091,1,934,206
6197407,83652896,1,340,382
5195219,69105675,2,844,544
53214565,25735541,4,697,469
37411328,20416579,3,646,25
90432257,57109651,1,132,209
68951543,48164460,5,230,75
81689787,61315182,4,944,58
27156677,89541732,3,678,834
71946045,66386260,2,793,798
48892883,62929524,5,332,995
78851505,34631840,1,36,475
62962113,34950883,1,696,781
45460392,91125316,2,472,156
52963031,53676706,5,254,192
16731931,50816616,3,980,19
58169612,45988161,3,114,765
40912680,28012519,2,679,463
33377493,69757168,2,748,541
34950883,59242594,0,781,768
20866937,85727169,0,648,525
4602289,75325325,2,901,574
83536512,95326023,1,89,720
91552819,73037477,1,268,99
17756105,30893524,3,549,389
64344056,66386260,5,762,798
53514566,66375738,5,966,417
45988161,74874846,3,765,797
4301854,7039994,3,445,294
54166930,53214565,4,602,697
4908516,10678760,0,607,449
73898869,86617822,4,57,147
50116333,56511328,4,558,426
71946045,86778612,5,793,521
89541732,12673339,4,834,123
45934390,82289014,3,115,956
32429075,70191512,5,839,178
59429927,99060389,0,514,164
83652896,35841647,5,382,255
35733573,41693876,4,236,583
76188299,19751250,1,663,837
71630594,28221259,2,509,247
66584565,89541732,0,266,834
55067966,27596629,4,606,85
44959846,45187366,4,438,699
53490317,74672784,3,244,374
53490317,9306830,3,244,840
53514566,55529719,0,966,977
42325412,78301604,0,914,712
24482925,85890964,0,450,846
35939396,87776978,3,261,227
29470098,1812075,1,287,101
3942695,52615429,4,967,932
68110688,29613711,3,504,61
84540447,69953521,2,330,971
82264007,8472906,2,573,298
53748800,28468485,2,336,877
72892971,29793503,0,424,345
24270402,54187483,2,817,116
68969143,29506729,1,750,239
71401291,58911091,4,757,447
20416579,38180115,3,25,808
64021986,33125537,2,458,362
2597921,87320629,2,599,609
23991326,42325412,4,570,914
22200190,80676878,1,688,82
34423462,86581253,1,694,738
80682169,27688001,0,334,162
80598975,81220046,5,150,598
45113260,35733573,3,766,236
75922273,2062738,2,859,941
71401291,1093396,5,757,836
59765788,34662216,1,638,80
39860131,91416324,2,109,636
71368970,71221480,5,333,933
87316948,68969143,5,799,750
83976656,83187549,3,923,619
77084664,24489195,1,327,969
28050034,61009773,2,912,892
34631840,17815908,3,475,902
8081406,62189958,4,959,784
80682169,69105675,4,334,544
22628688,4748874,2,550,812
5757040,95851667,5,112,825
43253968,31345841,3,495,940
80574015,42586264,3,462,871
48982980,37411328,1,187,646
73040681,1640312,5,12,284
86072549,35939396,2,293,261
86072549,20416579,4,293,25
64916221,45934390,0,291,115
91372025,14149767,1,998,166
84249880,86290932,2,879,533
26169315,12431235,2,285,439
69668083,10241427,4,559,603
92876464,60108096,5,883,551
35295072,90662805,3,610,733
47825457,1853245,2,414,373
87776978,43050268,0,227,320
11423269,47232993,3,826,989
79431198,2062738,5,350,941
34631840,47889418,0,475,572
55529719,72065260,3,977,497
91874139,91079273,3,67,851
83190332,40276156,1,385,986
83908372,8472906,1,594,298
97236644,69432213,4,519,398
55927175,32712728,4,322,788
58253371,69603371,1,483,128
50399560,77525297,2,566,73
38610854,51760273,1,513,540
6536442,40912680,0,477,679
18512540,63078133,0,347,217
1093396,29797724,4,836,5
51204141,58253371,3,443,483
1853245,83190332,3,373,385
61009773,78301604,3,892,712
26162058,59051511,1,406,715
13040605,38328547,2,938,935
61457445,41986844,1,428,604
35841647,38180115,0,255,808
74672784,30976923,5,374,505
52848736,64948572,1,372,979
79500855,87440413,1,401,916
9019677,20416579,0,351,25
74672784,97555931,5,374,828
19957369,88239465,1,260,709
74874846,39339455,3,797,98
54789181,49639537,4,644,63
97923278,30893524,1,29,389
80384524,26920200,3,991,415
43541248,37467364,2,976,589
19751250,51442728,1,837,862
66030507,17066180,3,482,958
89043608,89467981,0,197,931
15251756,80682169,5,143,334
68040469,91614334,2,597,43
60713142,61141173,0,886,853
79770084,21918408,4,763,666
30794667,61231992,0,547,535
64948572,95230522,5,979,413
94563178,19067526,4,764,416
66248800,81997559,0,54,60
40127781,22200190,2,754,688
29613711,69105675,1,61,544
31614718,2956541,2,83,191
25607298,34950883,3,580,781
10241427,31895993,3,603,592
82289014,44518800,1,956,39
66171129,24270402,4,420,817
71946045,97251876,4,793,237
7470088,34606272,0,176,654
15296192,28541972,0,326,845
36123916,19562145,2,38,179
59485950,78301604,1,309,712
45242901,95326023,1,46,720
86302522,43253968,5,926,495
77785229,25818739,2,286,586
97251876,37411328,2,237,646
99268018,45113260,3,625,766
11461442,10688887,5,805,405
34027965,26770477,0,258,434
78868895,36352323,2,120,117
23324213,46264694,0,220,741
89509432,82795154,0,613,963
40227781,91125316,3,852,156
38610854,78713684,3,513,772
35295072,97587593,5,610,243
7064420,21145201,2,725,69
82632781,35551656,3,737,470
11427516,70182153,3,410,110
92854742,19606074,4,409,894
59273979,75202474,1,383,88
7315229,58102809,4,489,295
17302357,27289045,3,72,856
69756051,86800565,0,708,948
66375738,58901282,3,417,564
86617822,89467981,0,147,931
25486926,26770477,1,490,434
78813012,56028780,1,682,440
51004747,86514354,5,391,370
26380823,10897982,0,561,882
64018611,56592728,5,352,59
24482925,21791167,1,450,55
95851667,28848480,1,825,157
98031245,83652896,4,668,382
6978537,14734747,2,221,144
44761260,21644651,3,175,140
60943799,17456206,4,215,905
35531782,95422673,4,581,205
49314608,95602070,0,267,732
98829172,40127781,0,241,754
81689787,2860339,0,944,536
60931922,92859872,5,246,500
77785229,71585330,3,286,695
74672784,10217250,1,374,642
69487472,6197407,3,723,340
71401291,27596629,1,757,85
28927360,97873083,4,875,274
53490317,41401829,0,244,86
62064567,40127781,3,3,754
19067526,20516343,4,416,900
29416097,48133428,2,630,895
94000525,91959211,0,432,136
66375738,15567641,3,417,223
47386154,79790375,3,888,658
10897982,26161325,4,882,259
3925951,1080179,2,755,248
12431235,56672235,5,439,751
93500310,1812075,2,222,101
79175595,47825457,2,42,414
74874846,99511541,5,797,180
6197407,19640224,0,340,6
90787376,69876991,1,283,95
67210903,96078977,0,306,399
30853872,31988711,2,212,299
80080118,96988713,1,833,392
1640312,5116290,0,284,188
17149429,31465612,1,442,87
11945861,78544601,2,918,635
11961243,90459524,3,231,706
75149394,59353827,5,148,189
79253341,96760353,3,890,593
51662173,91134533,4,408,893
63925690,20050145,4,96,681
89133485,69650761,3,357,467
76188299,31217803,4,663,468
6452241,69487472,1,868,723
1640312,73339170,5,284,734
74874846,98346944,4,797,198
58253371,16731931,5,483,980
29416402,51719409,4,111,532
11693022,86800565,0,790,948
30794667,42638666,4,547,431
54355321,51719409,5,219,532
3014186,20476876,1,881,899
19239044,75564647,0,307,207
54789181,21145201,4,644,69
96796701,54763935,3,575,456
54546202,98528770,0,242,855
97606046,43544662,2,686,32
53490317,97072146,2,244,478
91079273,69668083,1,851,559
26770477,96988713,2,434,392
86574459,87497021,4,671,454
32761047,3546631,4,556,314
22200190,52896996,2,688,719
5042218,12625429,0,15,404
19640224,61141173,3,6,853
96760353,50570245,2,593,889
86574459,25486926,5,671,490
29416097,51696548,4,630,531
79770084,61141173,3,763,853
3418754,58046574,1,791,312
34676709,79253341,4,637,890
72498770,18354681,0,910,245
81466591,5195219,2,670,844
13354626,94000525,5,380,432
95792408,7039994,1,718,294
59398989,71630594,5,210,509
46264694,91416324,0,741,636
15871528,4244089,5,548,441
27596629,95602070,1,85,732
35275946,1093396,2,820,836
48336758,96048451,0,780,388
14734747,53514566,3,144,966
84345058,53995284,5,418,823
10316470,58102809,3,498,295
26162058,84046419,3,406,208
87619841,59795975,4,985,620
60332295,89133485,5,587,357
77084664,16735717,2,327,21
52882369,49260800,4,827,634
62929524,14027026,0,995,656
80676878,40994730,4,82,238
49849502,20361264,0,672,40
3278448,80682169,5,91,334
58643904,57444636,1,543,776
5116290,43544662,1,188,32
35650377,56182941,2,499,870
79175595,7795028,5,42,560
31988711,31895993,5,299,592
84567480,97555931,0,378,828
76754771,31872848,1,240,52
87656497,68040469,5,896,597
62841579,68371650,0,680,685
41653295,52848736,0,102,372
6246548,91372025,0,789,998
94335105,97649348,5,249,381
13554242,90167587,0,538,506
97251876,42211851,2,237,747
31927553,59765788,3,831,638
84046419,79175595,5,208,42
21791167,69953521,5,55,971
80676878,10688887,0,82,405
75921482,84434481,3,841,335
38110561,82632781,1,107,737
26144584,56672235,4,145,751
88883775,24489195,2,430,969
99268018,57444636,0,625,776
29834202,11423269,2,920,826
56672235,31895993,0,751,592
99268018,70191512,5,625,178
99531538,55927175,5,983,322
80598975,2062738,2,150,941
4301854,58046574,0,445,312
53214565,87168447,1,697,660
9182092,83187549,5,577,619
52802905,18512540,1,94,347
69487472,60623620,2,723,903
35733573,1432736,4,236,690
20416579,80080118,2,25,833
37657252,73009579,0,710,742
87949499,91134533,3,225,893
89599410,24278367,3,925,256
33873626,89541732,1,56,834
56609314,6747321,4,867,122
76467030,30794667,0,849,547
95143745,45187366,5,571,699
76059965,30956538,2,435,453
6801059,58277748,3,433,783
17846389,42084934,3,624,669
59810690,99706731,4,818,800
4908516,56156561,0,607,806
84046419,84271563,5,208,13
75193068,16892018,3,224,407
57746169,62764098,2,446,650
61570194,71368970,1,623,333
64018611,32909167,2,352,421
47272144,10610811,0,908,641
76715316,5042218,5,412,15
29834202,31362236,3,920,534
63460922,64344056,4,304,762
96420263,15592702,1,492,992
85101507,53490317,4,693,244
95407693,13280193,0,674,934
38131415,96988713,1,154,392
41036694,8934237,0,692,848
25000643,69105675,5,645,544
68371650,75865932,4,685,930
33873626,90349889,3,56,667
41986844,64630291,5,604,673
35163891,97251876,2,228,237
61717895,10941358,3,371,522
87320629,69432213,1,609,398
86372359,63002030,1,234,974
20138670,32375913,0,159,276
56438970,4301854,2,968,445
91874139,31862301,2,67,984
66225982,69876991,5,512,95
15251756,47231887,1,143,131
87734045,45242901,2,84,46
97251876,17622432,2,237,860
3418754,54609485,0,791,863
71316169,14027026,1,216,656
49849502,35400934,4,672,955
4301854,26814424,3,445,252
42334581,18760165,5,269,814
73009579,40914475,4,742,62
22200190,79253341,2,688,890
20050145,31919124,5,681,302
27666839,96910645,0,339,64
83925117,45988161,3,153,765
41401829,12773270,2,86,601
17846389,41986844,1,624,604
6536442,91663343,5,477,528
41693876,46609482,0,583,358
75193068,50816616,2,224,19
35236735,6883989,2,756,142
80676878,63460922,4,82,304
56182941,4787840,1,870,402
95022878,11208878,2,779,515
80676878,8782842,4,82,878
46264694,22932633,1,741,264
68048755,58102809,2,945,295
6747321,23595873,4,122,105
10688887,58911091,2,405,447
83807278,20866937,4,125,648
6246548,69487472,3,789,723
71401291,19957369,3,757,260
4748874,3942695,5,812,967
9182092,79431198,0,577,350
66584565,48548847,2,266,816
29187162,83536512,5,329,89
81466591,29470098,3,670,287
50570245,98997058,4,889,773
20416579,48547731,5,25,271
76754771,68969143,0,240,750
22051873,30853872,4,263,212
56672235,40227781,5,751,852
11423269,94000525,1,826,432
78967688,49477303,5,33,316
20476876,39033495,0,899,675
9182092,8934237,3,577,848
21443069,19043488,1,964,496
89541732,38090555,2,834,711
45242901,3942695,2,46,967
91552819,44077357,0,268,476
13554242,20516343,0,538,900
91939403,42366310,2,943,460
60332295,30956538,2,587,453
11378608,94311648,3,0,151
8767156,14734747,4,493,144
43545057,10844304,2,647,704
34590042,7418176,4,618,363
18354681,78784480,4,245,165
51385896,69953521,5,615,971
39033495,18128906,1,675,396
69650761,31614718,5,467,83
79175595,33187018,4,42,960
58046574,42058530,5,312,113
91874139,14149767,1,67,166
53214565,92876464,2,697,883
89133485,10944508,2,357,687
89541732,41589049,4,834,324
88174070,67506819,0,348,640
23324213,79790375,0,220,658
16883976,53214565,4,168,697
93111107,64021986,3,471,458
19969199,27347512,5,49,119
87557124,26770477,4,761,434
69756051,50570245,1,708,889
82632781,59398989,2,737,210
91296187,53748800,5,204,336
27347512,84249880,1,119,879
1747013,96420263,3,981,492
5757040,22200190,1,112,688
39541689,46609482,5,437,358
55057068,86581253,1,97,738
83908372,99511541,4,594,180
96048451,7039994,0,388,294
77824893,62189958,0,936,784
83976656,23491543,1,923,973
13354626,94563178,0,380,764
18128906,58253371,4,396,483
6883989,91552819,0,142,268
50116333,44554709,2,558,562
59429927,83190332,5,514,385
97501873,75202474,3,487,88
38568536,84865869,4,972,655
76715316,82632781,3,412,737
80080118,4602289,4,833,901
12625429,45621649,2,404,342
62608358,39860131,0,138,109
41693876,43255863,0,583,813
48547731,87697604,5,271,600
22078466,78868895,4,183,120
52615429,34097265,2,932,486
87776978,19261088,1,227,81
45920150,92509364,2,850,736
87949499,16883976,5,225,168
97072146,51662173,5,478,408
21145201,51662173,2,69,408
31595989,47231887,5,988,131
68040469,36445006,3,597,553
75801221,82795154,3,305,963
30695739,34133608,1,397,51
23991326,51275295,5,570,7
35083930,87168447,2,819,660
69352474,81611930,2,730,622
59993046,52802905,5,376,94
16883976,26169315,2,168,285
97164912,7500792,0,822,563
81875266,97873083,5,146,274
64001903,35882057,4,990,365
5757040,12967182,5,112,884
20866937,35167181,0,648,226
54304067,87320629,2,171,609
6952038,19606074,5,913,894
17756105,16883976,2,549,168
71466857,37648977,2,683,626
4301854,51442728,1,445,862
45621649,53214565,5,342,697
34981989,32375913,3,368,276
48204078,20050145,1,459,681
51055010,62850962,3,616,104
44959846,12678940,2,438,811
95407693,91639359,3,674,518
74672784,87497021,0,374,454
97555931,52683156,3,828,419
17066180,49314608,2,958,267
92404905,69105675,4,317,544
92425425,86778612,0,375,521
87734045,62517510,1,84,126
30514367,76300416,4,953,464
17066180,13554242,2,958,538
38443689,98031245,0,891,668
50570245,49849502,4,889,672
58046574,45460392,0,312,472
95993943,22051873,4,275,263
89043608,10217250,0,197,642
87776978,47467686,0,227,614
69352474,47467686,2,730,614
16898220,3925951,1,874,755
78868895,64018611,5,120,352
67897782,11945861,0,343,918
97612477,84567480,3,344,378
67724969,59355448,3,491,787
76715316,59398989,1,412,210
89509432,72315629,3,613,502
68110688,66870564,3,504,864
22078466,69953521,3,183,971
59127308,13246952,1,842,909
15296192,17756105,3,326,549
80633893,38866575,3,160,279
21644651,4748874,4,140,812
56511328,37381526,2,426,745
26677744,86072549,0,802,293
83807278,42334581,3,125,269
21448951,31107299,3,301,161
5757040,51078726,5,112,523
78784480,83976656,2,165,923
76754771,82289014,4,240,956
51078726,91188887,0,523,824
84249880,45242901,0,879,46
20455091,84159267,5,206,627
57746169,86783398,4,446,163
56609314,29407041,4,867,444
22628688,34981989,4,550,368
34133608,52903951,2,51,567
44879118,1493082,2,103,526
43007766,1853245,2,30,373
90787376,99531538,2,283,983
90432257,43007766,4,132,30
83190332,79273765,4,385,876
29834202,29187162,2,920,329
29739877,62189958,0,361,784
90994627,63041014,1,22,100
24270402,11945861,0,817,918
77057410,91552819,2,4,268
69432213,35163891,5,398,228
48118511,29100483,1,379,137
13280193,50116333,1,934,558
30908764,62517510,1,653,126
63460922,4064451,2,304,996
35275946,34606272,0,820,654
24489195,69757168,0,969,541
28325828,72315629,3,872,502
24489195,38220302,1,969,582
95851667,38610854,3,825,513
63041014,47135165,2,100,45
91372025,10897982,5,998,882
19043488,37411328,4,496,646
11583651,73616316,4,612,579
78301604,10232979,4,712,321
12159158,61315182,3,861,58
33187018,27296981,2,960,250
47889418,67897782,4,572,343
29470098,6873635,3,287,911
68647667,13280193,4,568,934
30908764,1853245,3,653,373
12431235,29407041,4,439,444
5042218,84249880,2,15,879
73846005,28927360,5,331,875
78494866,31872848,3,411,52
73037477,31429013,0,99,952
45501852,59127308,1,174,842
18973811,96785900,1,643,289
51385896,96910645,3,615,64
31260894,56102257,1,591,494
54050593,86008559,5,785,281
11693022,62841579,1,790,680
56609314,41036694,0,867,692
95450556,16916110,2,722,74
82027331,87316948,0,277,799
90867619,63754985,5,121,130
57077468,98290623,4,2,338
97873083,81875266,4,274,146
88996983,89541732,3,735,834
98290623,76715316,4,338,412
62125849,38866575,3,465,279
62322050,77525297,3,48,73
23016206,75921482,0,28,841
73009579,69857816,1,742,14
94311648,79500855,2,151,401
53676706,58188540,4,192,127
96785900,34606272,3,289,654
32429075,69757168,0,839,541
23595873,31614718,5,105,83
46264694,43545057,4,741,647
69953521,62521904,0,971,199
25908590,25818739,3,684,586
58070265,29734570,2,661,152
6507810,29217537,5,364,629
89265742,59485950,2,229,309
38180115,56592728,0,808,59
96910645,65815684,2,64,770
46264694,13040605,2,741,938
12232739,81997559,0,200,60
90662805,45621649,1,733,342
90308649,95143745,1,775,571
71798178,45501852,0,897,174
6747321,62322050,3,122,48
63531924,6801059,5,292,433
84794180,26380823,0,190,561
34133608,35167181,1,51,226
92425425,75922273,5,375,859
2065461,53690602,1,994,337
41503628,16307500,0,47,777
6978537,44879118,4,221,103
98346944,35236735,2,198,756
18128906,34981989,5,396,368
16883976,61141173,1,168,853
54187483,60902594,1,116,957
6507810,97555931,4,364,828
44959846,51719409,1,438,532
63002030,46410003,0,974,214
60108096,84271563,4,551,13
35733573,92854742,1,236,409
19751250,67161012,3,837,466
2597921,85101507,1,599,693
53323929,51719409,0,1,532
52416792,64948572,0,395,979
69953521,16735717,3,971,21
55620937,98031245,4,213,668
11693022,29797724,4,790,5
47066510,41589049,0,950,324
26380823,67102256,5,561,843
40815137,29834202,3,280,920
4799287,96988713,5,701,392
76300416,48969921,3,464,907
36154512,81689787,1,184,944
91939403,65266651,2,943,452
7015572,24582405,3,71,659
35162976,22611502,1,341,511
54789181,64916221,5,644,291
58301343,80080118,3,727,833
16898220,45113260,4,874,766
82300536,92876464,5,978,883
97555931,24834126,3,828,473
26161325,6978537,5,259,221
62850962,57077468,4,104,2
44077357,41589049,5,476,324
8844880,98346944,1,196,198
49761953,24482925,1,847,450
29834202,17622432,2,920,860
15251756,26677744,5,143,802
41401829,56028780,3,86,440
12431235,52963031,4,439,254
1093396,47066510,0,836,950
95230522,21768109,4,413,596
98031245,80682169,5,668,334
55067966,80397318,5,606,149
92714880,86051806,5,702,749
39033495,66375738,1,675,417
71221480,61315182,4,933,58
10316470,29217537,4,498,629
57684912,82264007,2,743,573
80574708,10843007,3,769,108
62962113,78624353,1,696,288
83652896,36703141,0,382,27
20559778,63925690,5,303,96
30893524,45934390,2,389,115
88883775,24886023,5,430,106
47066510,10844304,3,950,704
31362236,54421993,1,534,90
35163891,39033495,0,228,675
55461999,97873083,3,37,274
98528968,34027965,3,942,258
80574015,35167181,2,462,226
38090555,19043488,3,711,496
36703141,7015572,0,27,71
77824893,34423462,4,936,694
29793503,16307500,2,345,777
99273044,55067966,0,310,606
8767156,48892883,4,493,332
25000643,56182941,2,645,870
60902594,1853245,1,957,373
52111787,19751250,5,975,837
76754771,60902594,5,240,957
45460392,38142409,5,472,9
32909167,97923278,0,421,29
33806005,94868179,0,858,949
35400934,78967688,1,955,33
4244089,17815908,2,441,902
60332295,33062810,4,587,906
81355371,75325325,3,70,574
17283099,35650377,4,999,499
8081406,97649348,5,959,381
30317100,33125537,1,792,362
26410144,67263539,5,557,639
64344056,9182092,0,762,577
94563178,57746169,5,764,446
8411048,76754771,3,703,240
69603371,80990934,5,128,962
65925778,58277748,1,628,783
85994086,69953521,1,517,971
27596629,80682169,0,85,334
24582405,67506819,5,659,640
64021986,35733573,3,458,236
56609314,28848480,0,867,157
12625429,12431235,3,404,439
15251756,14641288,0,143,657
68744841,62521904,5,565,199
41693876,55067966,3,583,606
6536442,82795154,4,477,963
91188887,38090555,1,824,711
49639537,95450556,2,63,722
27156677,48204078,1,678,459
33125537,97923278,1,362,29
33377493,78494866,1,748,411
31260894,95602070,5,591,732
51884317,35531782,5,253,581
67263539,98528770,2,639,855
75193068,47390415,3,224,425
11461442,35167181,2,805,226
4644562,8411048,5,474,703
33062810,71924083,2,906,782
51392191,94000525,2,857,432
97251876,96910645,1,237,64
22021699,76526004,5,758,866
58424586,16735717,0,233,21
40142907,80241525,2,124,731
13512113,10241427,5,546,603
65809106,31478260,3,488,235
81427210,29470098,4,885,287
10101842,16883976,3,555,168
85101507,52111787,3,693,975
23324213,99511541,1,220,180
12497395,30794667,1,898,547
82264007,11208878,5,573,515
80633893,57229434,5,160,803
98528770,77824893,4,855,936
96760353,1640312,5,593,284
13246952,48548847,5,909,816
95326023,57746169,4,720,446
57684912,64391713,1,743,677
55461999,38443689,1,37,891
29416402,68048755,2,111,945
11693022,37657252,1,790,710
34922000,57746169,1,427,446
96760353,76467030,0,593,849
80241525,51004747,5,731,391
36539894,96910645,4,921,64
27347512,10101842,5,119,555
8625969,34425047,5,296,767
73058205,34981989,1,10,368
5195219,84567480,2,844,378
75615402,53512485,5,922,195
18048586,64630291,4,807,673
39860131,59765788,0,109,638
10316470,18760165,3,498,814
80682169,44554709,1,334,562
79253341,13554242,5,890,538
20516343,86302522,0,900,926
18512540,64389828,0,347,436
3278448,99511541,3,91,180
9858867,65809106,5,611,488
33187018,51662173,5,960,408
45113260,97679279,4,766,369
86372359,38774244,2,234,393
84434481,81967771,3,335,915
78301604,64018611,1,712,352
67210903,91939403,3,306,943
10844304,84537315,0,704,665
97251876,29734570,4,237,152
91079273,95122615,0,851,79
31862301,2956541,0,984,191
77057410,24759546,1,4,753
45501852,73898869,5,174,57
23991326,35236735,1,570,756
64389828,11320456,1,436,158
67724969,54421993,4,491,90
84540447,50570245,1,330,889
36123916,30725077,5,38,729
45988161,83536512,0,765,89
7015572,69876991,5,71,95
62189958,95450556,2,784,722
4301854,61182768,4,445,759
32765650,19043488,2,359,496
90867619,55927175,4,121,322
44077357,58911091,3,476,447
76526004,19043488,3,866,496
24034807,35163891,1,18,228
37531013,80384524,4,451,991
68048755,40815137,2,945,280
83038845,31465612,5,68,87
80676878,72573459,2,82,527
90167587,14027026,0,506,656
61570194,36703141,2,623,27
15296192,88239465,5,326,709
59127308,21346320,3,842,448
16735717,30853872,4,21,212
53995284,58911091,3,823,447
29416097,77525297,1,630,73
6747321,71221480,0,122,933
77145180,81967771,5,821,915
15296192,31429013,3,326,952
80676878,42352020,0,82,689
38180115,19806510,0,808,633
20476876,69603371,5,899,128
57109651,45242901,2,209,46
52615429,94955068,5,932,315
67724969,83187549,1,491,619
97251876,60807875,0,237,356
20559778,1812075,4,303,101
